Дата,Товар,Количество,Цена за единицу,Сумма,Рейтинг,Комментарий
2025-06-30,Хлеб ржаной,12,152.0,1824.0,4.9,Восхитительно
2025-06-30,Булочка с корицей,13,171.0,2223.0,5.0,Сытный
2025-06-30,Пирожок с мясом,12,209.0,2508.0,5.0,Всегда свежие
2025-06-30,Эклер,19,247.0,4693.0,4.9,Хорошее тесто
2025-06-30,Чизкейк,17,475.0,8075.0,4.8,Идеально к кофе
2025-06-30,Маффин,14,190.0,2660.0,4.8,Обожаю!
2025-07-01,Круассан,18,229.2,4125.6,5.0,Шедевр!
2025-07-01,Хлеб ржаной,11,152.8,1680.8,4.5,Мой фаворит
2025-07-01,Булочка с корицей,14,171.9,2406.6,4.7,Всегда беру
2025-07-01,Пирожок с мясом,13,210.1,2731.3,4.5,Нормально
2025-07-01,Эклер,18,248.3,4469.4,4.9,Тают во рту
2025-07-01,Чизкейк,16,477.5,7640.0,4.8,Просто супер!
2025-07-01,Маффин,15,191.0,2865.0,4.7,Всегда свежие
2025-07-02,Круассан,19,230.4,4377.6,5.0,Тают во рту
2025-07-02,Хлеб ржаной,13,153.6,1996.8,4.7,Шедевр!
2025-07-02,Булочка с корицей,16,172.8,2764.8,5.0,Хороший хлеб
2025-07-02,Пирожок с мясом,11,211.2,2323.2,4.9,Нормально
2025-07-02,Эклер,19,249.6,4742.4,5.0,Мой фаворит
2025-07-02,Чизкейк,16,480.0,7680.0,4.9,"Горячие, вкусные"
2025-07-02,Маффин,14,192.0,2688.0,4.8,Мой фаворит
2025-07-03,Круассан,19,231.6,4400.4,4.7,Сочно и свежо
2025-07-03,Хлеб ржаной,14,154.4,2161.6,4.4,Просто супер!
2025-07-03,Булочка с корицей,19,173.7,3300.3,5.0,Восхитительно
2025-07-03,Пирожок с мясом,15,212.3,3184.5,4.9,"Горячие, вкусные"
2025-07-03,Эклер,19,250.9,4767.1,4.6,Обожаю!
2025-07-03,Чизкейк,12,482.5,5790.0,4.8,Отличный крем
2025-07-03,Маффин,14,193.0,2702.0,4.6,Мой фаворит
2025-07-04,Круассан,19,232.8,4423.2,5.0,Тают во рту
2025-07-04,Хлеб ржаной,10,155.2,1552.0,4.6,Мой фаворит
2025-07-04,Булочка с корицей,16,174.6,2793.6,4.8,Шедевр!
2025-07-04,Пирожок с мясом,11,213.4,2347.4,4.4,Просто супер!
2025-07-04,Эклер,19,252.2,4791.8,4.7,Просто супер!
2025-07-04,Чизкейк,16,485.0,7760.0,4.6,Лучший чизкейк
2025-07-04,Маффин,15,194.0,2910.0,4.9,Всегда свежие
2025-07-05,Круассан,18,234.0,4212.0,4.9,Нормально
2025-07-05,Хлеб ржаной,13,156.0,2028.0,4.6,Отличный крем
2025-07-05,Булочка с корицей,19,175.5,3334.5,5.0,Очень вкусно
2025-07-05,Пирожок с мясом,21,214.5,4504.5,4.8,Тают во рту
2025-07-05,Эклер,24,253.5,6084.0,5.0,Всегда свежие
2025-07-05,Чизкейк,19,487.5,9262.5,4.8,Тают во рту
2025-07-05,Маффин,21,195.0,4095.0,4.9,Просто супер!
2025-07-06,Круассан,23,235.2,5409.6,5.0,Восхитительно
2025-07-06,Хлеб ржаной,16,156.8,2508.8,4.5,Восхитительно
2025-07-06,Булочка с корицей,18,176.4,3175.2,5.0,Обожаю!
2025-07-06,Пирожок с мясом,21,215.6,4527.6,4.8,Всегда беру
2025-07-06,Эклер,23,254.8,5860.4,5.0,Идеально к кофе
2025-07-06,Чизкейк,18,490.0,8820.0,5.0,Тают во рту
2025-07-06,Маффин,24,196.0,4704.0,5.0,Всегда беру
2025-07-07,Круассан,16,236.4,3782.4,4.7,Мой фаворит
2025-07-07,Хлеб ржаной,13,157.6,2048.8,4.7,Очень вкусно
2025-07-07,Булочка с корицей,17,177.3,3014.1,4.5,Просто супер!
2025-07-07,Пирожок с мясом,14,216.7,3033.8,4.4,Очень вкусно
2025-07-07,Эклер,20,256.1,5122.0,5.0,Просто супер!
2025-07-07,Чизкейк,17,492.5,8372.5,4.6,Нормально
2025-07-07,Маффин,17,197.0,3349.0,4.8,Сытный
2025-07-08,Круассан,17,237.6,4039.2,4.9,Чуть пересушен
2025-07-08,Хлеб ржаной,10,158.4,1584.0,4.7,Лучший чизкейк
2025-07-08,Булочка с корицей,15,178.2,2673.0,5.0,Чуть пересушен
2025-07-08,Пирожок с мясом,12,217.8,2613.6,4.5,Идеально к кофе
2025-07-08,Эклер,15,257.4,3861.0,4.7,Хороший хлеб
2025-07-08,Чизкейк,17,495.0,8415.0,4.6,Всегда беру
2025-07-08,Маффин,19,198.0,3762.0,5.0,Шедевр!
2025-07-09,Круассан,16,238.8,3820.8,5.0,Просто супер!
2025-07-09,Хлеб ржаной,14,159.2,2228.8,4.8,Шедевр!
2025-07-09,Булочка с корицей,16,179.1,2865.6,4.5,Сытный
2025-07-09,Пирожок с мясом,16,218.9,3502.4,4.5,Отличный крем
2025-07-09,Эклер,14,258.7,3621.8,4.7,Нормально
2025-07-09,Чизкейк,13,497.5,6467.5,4.9,Хорошее тесто
2025-07-09,Маффин,14,199.0,2786.0,4.6,Сытный
2025-07-10,Круассан,19,240.0,4560.0,5.0,Лучший чизкейк
2025-07-10,Хлеб ржаной,12,160.0,1920.0,4.6,Сытный
2025-07-10,Булочка с корицей,16,180.0,2880.0,4.6,Идеально к кофе
2025-07-10,Пирожок с мясом,15,220.0,3300.0,4.5,Лучший чизкейк
2025-07-10,Эклер,16,260.0,4160.0,4.6,Сочно и свежо
2025-07-10,Чизкейк,15,500.0,7500.0,4.5,"Горячие, вкусные"
2025-07-10,Маффин,16,200.0,3200.0,4.7,Чуть пересушен
2025-07-11,Круассан,16,241.2,3859.2,5.0,Просто супер!
2025-07-11,Хлеб ржаной,9,160.8,1447.2,4.7,Тают во рту
2025-07-11,Булочка с корицей,16,180.9,2894.4,4.8,Хорошее тесто
2025-07-11,Пирожок с мясом,14,221.1,3095.4,4.5,Хороший хлеб
2025-07-11,Эклер,16,261.3,4180.8,4.8,Лучший чизкейк
2025-07-11,Чизкейк,15,502.5,7537.5,4.5,Мой фаворит
2025-07-11,Маффин,17,201.0,3417.0,4.8,Просто супер!
2025-07-12,Круассан,27,242.4,6544.8,5.0,Сочно и свежо
2025-07-12,Хлеб ржаной,17,161.6,2747.2,5.0,Всегда беру
2025-07-12,Булочка с корицей,19,181.8,3454.2,5.0,Обожаю!
2025-07-12,Пирожок с мясом,15,222.2,3333.0,5.0,Чуть пересушен
2025-07-12,Эклер,17,262.6,4464.2,5.0,Хорошее тесто
2025-07-12,Чизкейк,16,505.0,8080.0,4.9,Обожаю!
2025-07-12,Маффин,21,202.0,4242.0,5.0,Восхитительно
2025-07-13,Круассан,22,243.6,5359.2,5.0,Отличный крем
2025-07-13,Хлеб ржаной,14,162.4,2273.6,4.8,Чуть пересушен
2025-07-13,Булочка с корицей,19,182.7,3471.3,5.0,Лучший чизкейк
2025-07-13,Пирожок с мясом,18,223.3,4019.4,4.7,Восхитительно
2025-07-13,Эклер,24,263.9,6333.6,4.9,Идеально к кофе
2025-07-13,Чизкейк,21,507.5,10657.5,5.0,Отличный крем
2025-07-13,Маффин,18,203.0,3654.0,5.0,Нормально
2025-07-14,Круассан,14,244.8,3427.2,5.0,Шедевр!
2025-07-14,Хлеб ржаной,10,163.2,1632.0,4.4,Шедевр!
2025-07-14,Булочка с корицей,13,183.6,2386.8,4.7,Всегда беру
2025-07-14,Пирожок с мясом,15,224.4,3366.0,4.6,Шедевр!
2025-07-14,Эклер,17,265.2,4508.4,4.6,Очень вкусно
2025-07-14,Чизкейк,15,510.0,7650.0,5.0,Всегда беру
2025-07-14,Маффин,14,204.0,2856.0,4.8,Идеально к кофе
2025-07-15,Круассан,19,246.0,4674.0,5.0,Отличный крем
2025-07-15,Хлеб ржаной,14,164.0,2296.0,4.7,Мой фаворит
2025-07-15,Булочка с корицей,14,184.5,2583.0,4.8,Мой фаворит
2025-07-15,Пирожок с мясом,13,225.5,2931.5,4.8,Очень вкусно
2025-07-15,Эклер,18,266.5,4797.0,4.7,Лучший чизкейк
2025-07-15,Чизкейк,12,512.5,6150.0,4.9,Нормально
2025-07-15,Маффин,16,205.0,3280.0,4.8,Нормально
2025-07-16,Круассан,21,247.2,5191.2,4.8,Тают во рту
2025-07-16,Хлеб ржаной,10,164.8,1648.0,4.4,Всегда беру
2025-07-16,Булочка с корицей,18,185.4,3337.2,4.6,Нормально
2025-07-16,Пирожок с мясом,12,226.6,2719.2,4.4,Идеально к кофе
2025-07-16,Эклер,15,267.8,4017.0,4.9,Чуть пересушен
2025-07-16,Чизкейк,16,515.0,8240.0,4.9,Очень вкусно
2025-07-16,Маффин,15,206.0,3090.0,5.0,Сочно и свежо
2025-07-17,Круассан,15,248.4,3726.0,5.0,Очень вкусно
2025-07-17,Хлеб ржаной,11,165.6,1821.6,4.8,Просто супер!
2025-07-17,Булочка с корицей,18,186.3,3353.4,4.8,Тают во рту
2025-07-17,Пирожок с мясом,11,227.7,2504.7,4.6,Всегда свежие
2025-07-17,Эклер,18,269.1,4843.8,5.0,Хорошее тесто
2025-07-17,Чизкейк,13,517.5,6727.5,4.5,Восхитительно
2025-07-17,Маффин,15,207.0,3105.0,5.0,Чуть пересушен
2025-07-18,Круассан,18,249.6,4492.8,5.0,Всегда беру
2025-07-18,Хлеб ржаной,13,166.4,2163.2,4.9,Очень вкусно
2025-07-18,Булочка с корицей,12,187.2,2246.4,4.5,Чуть пересушен
2025-07-18,Пирожок с мясом,14,228.8,3203.2,4.8,Сочно и свежо
2025-07-18,Эклер,19,270.4,5137.6,4.6,Чуть пересушен
2025-07-18,Чизкейк,14,520.0,7280.0,4.8,Очень вкусно
2025-07-18,Маффин,17,208.0,3536.0,5.0,Обожаю!
2025-07-19,Круассан,19,250.8,4765.2,5.0,Шедевр!
2025-07-19,Хлеб ржаной,18,167.2,3009.6,4.7,Отличный крем
2025-07-19,Булочка с корицей,21,188.1,3950.1,4.8,Очень вкусно
2025-07-19,Пирожок с мясом,15,229.9,3448.5,4.7,Хороший хлеб
2025-07-19,Эклер,22,271.7,5977.4,5.0,Шедевр!
2025-07-19,Чизкейк,17,522.5,8882.5,5.0,Идеально к кофе
2025-07-19,Маффин,18,209.0,3762.0,4.7,Обожаю!
2025-07-20,Круассан,21,252.0,5292.0,5.0,Мой фаворит
2025-07-20,Хлеб ржаной,17,168.0,2856.0,4.6,Отличный крем
2025-07-20,Булочка с корицей,20,189.0,3780.0,4.8,Очень вкусно
2025-07-20,Пирожок с мясом,18,231.0,4158.0,4.9,Просто супер!
2025-07-20,Эклер,21,273.0,5733.0,5.0,Тают во рту
2025-07-20,Чизкейк,17,525.0,8925.0,5.0,Мой фаворит
2025-07-20,Маффин,20,210.0,4200.0,5.0,Идеально к кофе
2025-07-21,Круассан,15,253.2,3798.0,5.0,Отличный крем
2025-07-21,Хлеб ржаной,11,168.8,1856.8,4.6,Хороший хлеб
2025-07-21,Булочка с корицей,18,189.9,3418.2,4.7,Идеально к кофе
2025-07-21,Пирожок с мясом,14,232.1,3249.4,4.8,Сочно и свежо
2025-07-21,Эклер,14,274.3,3840.2,4.8,Сочно и свежо
2025-07-21,Чизкейк,16,527.5,8440.0,4.5,Всегда беру
2025-07-21,Маффин,17,211.0,3587.0,4.8,Мой фаворит
2025-07-22,Круассан,14,254.4,3561.6,4.7,Хороший хлеб
2025-07-22,Хлеб ржаной,13,169.6,2204.8,4.6,Лучший чизкейк
2025-07-22,Булочка с корицей,13,190.8,2480.4,5.0,Тают во рту
2025-07-22,Пирожок с мясом,15,233.2,3498.0,4.7,Отличный крем
2025-07-22,Эклер,19,275.6,5236.4,4.7,Нормально
2025-07-22,Чизкейк,12,530.0,6360.0,4.7,Очень вкусно
2025-07-22,Маффин,19,212.0,4028.0,5.0,Всегда беру
2025-07-23,Круассан,14,255.6,3578.4,4.6,Нормально
2025-07-23,Хлеб ржаной,12,170.4,2044.8,4.4,Шедевр!
2025-07-23,Булочка с корицей,14,191.7,2683.8,4.7,Обожаю!
2025-07-23,Пирожок с мясом,16,234.3,3748.8,4.6,Всегда беру
2025-07-23,Эклер,19,276.9,5261.1,5.0,Всегда свежие
2025-07-23,Чизкейк,15,532.5,7987.5,4.6,Тают во рту
2025-07-23,Маффин,17,213.0,3621.0,5.0,Обожаю!
2025-07-24,Круассан,21,256.8,5392.8,4.6,"Горячие, вкусные"
2025-07-24,Хлеб ржаной,10,171.2,1712.0,4.4,Всегда беру
2025-07-24,Булочка с корицей,16,192.6,3081.6,5.0,Хорошее тесто
2025-07-24,Пирожок с мясом,15,235.4,3531.0,4.8,Шедевр!
2025-07-24,Эклер,19,278.2,5285.8,4.7,Хорошее тесто
2025-07-24,Чизкейк,12,535.0,6420.0,4.5,Идеально к кофе
2025-07-24,Маффин,14,214.0,2996.0,4.9,Шедевр!
2025-07-25,Круассан,17,258.0,4386.0,4.8,Тают во рту
2025-07-25,Хлеб ржаной,10,172.0,1720.0,4.7,Всегда беру
2025-07-25,Булочка с корицей,13,193.5,2515.5,5.0,Отличный крем
2025-07-25,Пирожок с мясом,14,236.5,3311.0,5.0,Всегда свежие
2025-07-25,Эклер,17,279.5,4751.5,5.0,Очень вкусно
2025-07-25,Чизкейк,14,537.5,7525.0,4.5,Всегда беру
2025-07-25,Маффин,12,215.0,2580.0,4.8,Обожаю!
2025-07-26,Круассан,23,259.2,5961.6,4.9,Нормально
2025-07-26,Хлеб ржаной,18,172.8,3110.4,5.0,Просто супер!
2025-07-26,Булочка с корицей,21,194.4,4082.4,4.8,"Горячие, вкусные"
2025-07-26,Пирожок с мясом,19,237.6,4514.4,4.7,Чуть пересушен
2025-07-26,Эклер,24,280.8,6739.2,4.9,Мой фаворит
2025-07-26,Чизкейк,20,540.0,10800.0,4.9,Мой фаворит
2025-07-26,Маффин,17,216.0,3672.0,5.0,Всегда свежие
2025-07-27,Круассан,24,260.4,6249.6,4.9,Просто супер!
2025-07-27,Хлеб ржаной,13,173.6,2256.8,4.6,Отличный крем
2025-07-27,Булочка с корицей,23,195.3,4491.9,5.0,Всегда свежие
2025-07-27,Пирожок с мясом,18,238.7,4296.6,4.9,"Горячие, вкусные"
2025-07-27,Эклер,21,282.1,5924.1,5.0,Мой фаворит
2025-07-27,Чизкейк,22,542.5,11935.0,5.0,"Горячие, вкусные"
2025-07-27,Маффин,20,217.0,4340.0,5.0,Нормально
2025-07-28,Круассан,15,261.6,3924.0,5.0,Хорошее тесто
2025-07-28,Хлеб ржаной,10,174.4,1744.0,4.4,Хорошее тесто
2025-07-28,Булочка с корицей,16,196.2,3139.2,4.5,Восхитительно
2025-07-28,Пирожок с мясом,13,239.8,3117.4,5.0,Обожаю!
2025-07-28,Эклер,16,283.4,4534.4,4.9,Хорошее тесто
2025-07-28,Чизкейк,12,545.0,6540.0,4.6,Просто супер!
2025-07-28,Маффин,16,218.0,3488.0,4.5,Хороший хлеб
2025-07-29,Круассан,17,262.8,4467.6,4.7,Всегда свежие
2025-07-29,Хлеб ржаной,12,175.2,2102.4,4.7,Очень вкусно
2025-07-29,Булочка с корицей,15,197.1,2956.5,5.0,Лучший чизкейк
2025-07-29,Пирожок с мясом,14,240.9,3372.6,4.5,Лучший чизкейк
2025-07-29,Эклер,15,284.7,4270.5,5.0,Очень вкусно
2025-07-29,Чизкейк,15,547.5,8212.5,4.6,Хороший хлеб
2025-07-29,Маффин,18,219.0,3942.0,4.6,Обожаю!
2025-07-30,Круассан,15,264.0,3960.0,5.0,Сочно и свежо
2025-07-30,Хлеб ржаной,13,176.0,2288.0,4.4,"Горячие, вкусные"
2025-07-30,Булочка с корицей,15,198.0,2970.0,4.8,Восхитительно
2025-07-30,Пирожок с мясом,13,242.0,3146.0,4.5,Обожаю!
2025-07-30,Эклер,17,286.0,4862.0,5.0,Чуть пересушен
2025-07-30,Чизкейк,12,550.0,6600.0,4.5,Хороший хлеб
2025-07-30,Маффин,16,220.0,3520.0,4.6,"Горячие, вкусные"
2025-07-31,Круассан,15,265.2,3978.0,5.0,Чуть пересушен
2025-07-31,Хлеб ржаной,13,176.8,2298.4,4.4,Сочно и свежо
2025-07-31,Булочка с корицей,18,198.9,3580.2,5.0,Шедевр!
2025-07-31,Пирожок с мясом,12,243.1,2917.2,4.4,"Горячие, вкусные"
2025-07-31,Эклер,13,287.3,3734.9,4.9,Всегда беру
2025-07-31,Чизкейк,15,552.5,8287.5,4.6,Шедевр!
2025-07-31,Маффин,16,221.0,3536.0,4.8,"Горячие, вкусные"
2025-08-01,Круассан,20,266.4,5328.0,4.9,Лучший чизкейк
2025-08-01,Хлеб ржаной,12,177.6,2131.2,4.7,Шедевр!
2025-08-01,Булочка с корицей,15,199.8,2997.0,5.0,Шедевр!
2025-08-01,Пирожок с мясом,16,244.2,3907.2,5.0,Мой фаворит
2025-08-01,Эклер,16,288.6,4617.6,5.0,"Горячие, вкусные"
2025-08-01,Чизкейк,16,555.0,8880.0,4.5,Тают во рту
2025-08-01,Маффин,13,222.0,2886.0,4.9,Очень вкусно
2025-08-02,Круассан,27,267.6,7225.2,4.9,Всегда беру
2025-08-02,Хлеб ржаной,15,178.4,2676.0,4.8,Обожаю!
2025-08-02,Булочка с корицей,21,200.7,4214.7,5.0,Чуть пересушен
2025-08-02,Пирожок с мясом,16,245.3,3924.8,5.0,Отличный крем
2025-08-02,Эклер,22,289.9,6377.8,4.8,Восхитительно
2025-08-02,Чизкейк,20,557.5,11150.0,4.7,Восхитительно
2025-08-02,Маффин,21,223.0,4683.0,5.0,"Горячие, вкусные"
2025-08-03,Круассан,22,268.8,5913.6,4.8,"Горячие, вкусные"
2025-08-03,Хлеб ржаной,16,179.2,2867.2,5.0,Всегда беру
2025-08-03,Булочка с корицей,21,201.6,4233.6,4.7,Всегда беру
2025-08-03,Пирожок с мясом,19,246.4,4681.6,4.7,Идеально к кофе
2025-08-03,Эклер,21,291.2,6115.2,5.0,Восхитительно
2025-08-03,Чизкейк,22,560.0,12320.0,5.0,Чуть пересушен
2025-08-03,Маффин,20,224.0,4480.0,5.0,Очень вкусно
2025-08-04,Круассан,15,270.0,4050.0,5.0,Тают во рту
2025-08-04,Хлеб ржаной,14,180.0,2520.0,4.7,Шедевр!
2025-08-04,Булочка с корицей,13,202.5,2632.5,5.0,Нормально
2025-08-04,Пирожок с мясом,11,247.5,2722.5,5.0,Идеально к кофе
2025-08-04,Эклер,16,292.5,4680.0,5.0,Обожаю!
2025-08-04,Чизкейк,16,562.5,9000.0,4.7,Просто супер!
2025-08-04,Маффин,17,225.0,3825.0,4.5,Хороший хлеб
2025-08-05,Круассан,19,271.2,5152.8,4.9,Очень вкусно
2025-08-05,Хлеб ржаной,11,180.8,1988.8,4.4,Шедевр!
2025-08-05,Булочка с корицей,16,203.4,3254.4,4.9,Тают во рту
2025-08-05,Пирожок с мясом,15,248.6,3729.0,4.9,Очень вкусно
2025-08-05,Эклер,14,293.8,4113.2,4.6,Восхитительно
2025-08-05,Чизкейк,12,565.0,6780.0,4.5,Лучший чизкейк
2025-08-05,Маффин,13,226.0,2938.0,5.0,"Горячие, вкусные"
2025-08-06,Круассан,16,272.4,4358.4,5.0,Отличный крем
2025-08-06,Хлеб ржаной,14,181.6,2542.4,4.8,Лучший чизкейк
2025-08-06,Булочка с корицей,18,204.3,3677.4,4.9,Всегда свежие
2025-08-06,Пирожок с мясом,16,249.7,3995.2,4.9,Очень вкусно
2025-08-06,Эклер,13,295.1,3836.3,4.9,Нормально
2025-08-06,Чизкейк,17,567.5,9647.5,4.7,Нормально
2025-08-06,Маффин,18,227.0,4086.0,4.7,Очень вкусно
2025-08-07,Круассан,18,273.6,4924.8,4.7,Мой фаворит
2025-08-07,Хлеб ржаной,12,182.4,2188.8,4.3,Тают во рту
2025-08-07,Булочка с корицей,15,205.2,3078.0,4.9,Сытный
2025-08-07,Пирожок с мясом,11,250.8,2758.8,4.7,Шедевр!
2025-08-07,Эклер,17,296.4,5038.8,4.6,Идеально к кофе
2025-08-07,Чизкейк,14,570.0,7980.0,4.5,Идеально к кофе
2025-08-07,Маффин,14,228.0,3192.0,5.0,Сытный
2025-08-08,Круассан,21,274.8,5770.8,4.9,Шедевр!
2025-08-08,Хлеб ржаной,10,183.2,1832.0,4.7,Всегда беру
2025-08-08,Булочка с корицей,17,206.1,3503.7,4.7,Обожаю!
2025-08-08,Пирожок с мясом,12,251.9,3022.8,4.9,"Горячие, вкусные"
2025-08-08,Эклер,17,297.7,5060.9,5.0,Обожаю!
2025-08-08,Чизкейк,13,572.5,7442.5,4.9,Отличный крем
2025-08-08,Маффин,17,229.0,3893.0,4.7,Всегда беру
2025-08-09,Круассан,22,276.0,6072.0,5.0,Мой фаворит
2025-08-09,Хлеб ржаной,16,184.0,2944.0,4.6,Хорошее тесто
2025-08-09,Булочка с корицей,22,207.0,4554.0,5.0,Сытный
2025-08-09,Пирожок с мясом,16,253.0,4048.0,4.7,Тают во рту
2025-08-09,Эклер,26,299.0,7774.0,5.0,Хорошее тесто
2025-08-09,Чизкейк,22,575.0,12650.0,5.0,Обожаю!
2025-08-09,Маффин,17,230.0,3910.0,5.0,Хорошее тесто
2025-08-10,Круассан,19,277.2,5266.8,5.0,Очень вкусно
2025-08-10,Хлеб ржаной,15,184.8,2772.0,5.0,Очень вкусно
2025-08-10,Булочка с корицей,22,207.9,4573.8,4.9,Шедевр!
2025-08-10,Пирожок с мясом,19,254.1,4827.9,5.0,Чуть пересушен
2025-08-10,Эклер,19,300.3,5705.7,4.8,"Горячие, вкусные"
2025-08-10,Чизкейк,21,577.5,12127.5,5.0,Всегда беру
2025-08-10,Маффин,21,231.0,4851.0,5.0,Хороший хлеб
2025-08-11,Круассан,21,278.4,5846.4,4.9,Восхитительно
2025-08-11,Хлеб ржаной,9,185.6,1670.4,4.6,Идеально к кофе
2025-08-11,Булочка с корицей,18,208.8,3758.4,4.9,Всегда беру
2025-08-11,Пирожок с мясом,16,255.2,4083.2,4.7,"Горячие, вкусные"
2025-08-11,Эклер,20,301.6,6032.0,4.6,Обожаю!
2025-08-11,Чизкейк,17,580.0,9860.0,4.5,Сытный
2025-08-11,Маффин,14,232.0,3248.0,4.8,Хорошее тесто
2025-08-12,Круассан,20,279.6,5592.0,4.9,Всегда свежие
2025-08-12,Хлеб ржаной,12,186.4,2236.8,4.8,Нормально
2025-08-12,Булочка с корицей,16,209.7,3355.2,4.5,Восхитительно
2025-08-12,Пирожок с мясом,16,256.3,4100.8,4.9,Тают во рту
2025-08-12,Эклер,16,302.9,4846.4,5.0,Тают во рту
2025-08-12,Чизкейк,12,582.5,6990.0,4.7,Лучший чизкейк
2025-08-12,Маффин,14,233.0,3262.0,5.0,Очень вкусно
2025-08-13,Круассан,20,280.8,5616.0,5.0,Тают во рту
2025-08-13,Хлеб ржаной,13,187.2,2433.6,4.6,Хороший хлеб
2025-08-13,Булочка с корицей,19,210.6,4001.4,4.8,Шедевр!
2025-08-13,Пирожок с мясом,12,257.4,3088.8,4.9,Тают во рту
2025-08-13,Эклер,19,304.2,5779.8,5.0,Тают во рту
2025-08-13,Чизкейк,15,585.0,8775.0,5.0,Мой фаворит
2025-08-13,Маффин,18,234.0,4212.0,4.8,Всегда свежие
2025-08-14,Круассан,18,282.0,5076.0,5.0,Лучший чизкейк
2025-08-14,Хлеб ржаной,13,188.0,2444.0,4.6,Отличный крем
2025-08-14,Булочка с корицей,13,211.5,2749.5,4.7,Всегда свежие
2025-08-14,Пирожок с мясом,16,258.5,4136.0,4.5,Идеально к кофе
2025-08-14,Эклер,20,305.5,6110.0,4.9,Тают во рту
2025-08-14,Чизкейк,12,587.5,7050.0,4.6,Лучший чизкейк
2025-08-14,Маффин,15,235.0,3525.0,5.0,Всегда беру
2025-08-15,Круассан,21,283.2,5947.2,4.7,Обожаю!
2025-08-15,Хлеб ржаной,14,188.8,2643.2,4.8,Сытный
2025-08-15,Булочка с корицей,17,212.4,3610.8,5.0,Сочно и свежо
2025-08-15,Пирожок с мясом,16,259.6,4153.6,4.9,Обожаю!
2025-08-15,Эклер,20,306.8,6136.0,4.7,Шедевр!
2025-08-15,Чизкейк,13,590.0,7670.0,4.9,Шедевр!
2025-08-15,Маффин,17,236.0,4012.0,4.8,Нормально
2025-08-16,Круассан,26,284.4,7394.4,5.0,Мой фаворит
2025-08-16,Хлеб ржаной,14,189.6,2654.4,4.9,Хорошее тесто
2025-08-16,Булочка с корицей,21,213.3,4479.3,5.0,Шедевр!
2025-08-16,Пирожок с мясом,21,260.7,5474.7,5.0,Очень вкусно
2025-08-16,Эклер,22,308.1,6778.2,5.0,Нормально
2025-08-16,Чизкейк,16,592.5,9480.0,4.9,Очень вкусно
2025-08-16,Маффин,24,237.0,5688.0,5.0,Всегда свежие
2025-08-17,Круассан,27,285.6,7711.2,4.9,Нормально
2025-08-17,Хлеб ржаной,15,190.4,2856.0,4.9,Сытный
2025-08-17,Булочка с корицей,21,214.2,4498.2,4.8,Лучший чизкейк
2025-08-17,Пирожок с мясом,18,261.8,4712.4,4.7,Шедевр!
2025-08-17,Эклер,25,309.4,7735.0,5.0,Мой фаворит
2025-08-17,Чизкейк,16,595.0,9520.0,4.9,Отличный крем
2025-08-17,Маффин,21,238.0,4998.0,5.0,Мой фаворит
2025-08-18,Круассан,15,286.8,4302.0,5.0,Очень вкусно
2025-08-18,Хлеб ржаной,13,191.2,2485.6,4.5,Чуть пересушен
2025-08-18,Булочка с корицей,14,215.1,3011.4,4.7,Сочно и свежо
2025-08-18,Пирожок с мясом,14,262.9,3680.6,4.8,Всегда беру
2025-08-18,Эклер,14,310.7,4349.8,5.0,"Горячие, вкусные"
2025-08-18,Чизкейк,12,597.5,7170.0,4.5,Лучший чизкейк
2025-08-18,Маффин,14,239.0,3346.0,5.0,Просто супер!
2025-08-19,Круассан,17,288.0,4896.0,4.8,Хороший хлеб
2025-08-19,Хлеб ржаной,11,192.0,2112.0,4.8,Всегда беру
2025-08-19,Булочка с корицей,16,216.0,3456.0,4.5,Отличный крем
2025-08-19,Пирожок с мясом,14,264.0,3696.0,4.6,Хорошее тесто
2025-08-19,Эклер,19,312.0,5928.0,4.8,Тают во рту
2025-08-19,Чизкейк,16,600.0,9600.0,4.9,Просто супер!
2025-08-19,Маффин,16,240.0,3840.0,5.0,Всегда свежие
2025-08-20,Круассан,14,289.2,4048.8,5.0,Шедевр!
2025-08-20,Хлеб ржаной,9,192.8,1735.2,4.6,Восхитительно
2025-08-20,Булочка с корицей,17,216.9,3687.3,5.0,Восхитительно
2025-08-20,Пирожок с мясом,15,265.1,3976.5,4.9,Просто супер!
2025-08-20,Эклер,18,313.3,5639.4,4.8,"Горячие, вкусные"
2025-08-20,Чизкейк,13,602.5,7832.5,4.5,Восхитительно
2025-08-20,Маффин,14,241.0,3374.0,4.8,Идеально к кофе
2025-08-21,Круассан,18,290.4,5227.2,5.0,"Горячие, вкусные"
2025-08-21,Хлеб ржаной,13,193.6,2516.8,4.6,Восхитительно
2025-08-21,Булочка с корицей,16,217.8,3484.8,4.8,Нормально
2025-08-21,Пирожок с мясом,15,266.2,3993.0,4.5,Идеально к кофе
2025-08-21,Эклер,16,314.6,5033.6,4.8,Чуть пересушен
2025-08-21,Чизкейк,16,605.0,9680.0,4.9,Хорошее тесто
2025-08-21,Маффин,16,242.0,3872.0,5.0,"Горячие, вкусные"
2025-08-22,Круассан,20,291.6,5832.0,5.0,Сытный
2025-08-22,Хлеб ржаной,14,194.4,2721.6,4.7,Хорошее тесто
2025-08-22,Булочка с корицей,15,218.7,3280.5,4.9,Нормально
2025-08-22,Пирожок с мясом,11,267.3,2940.3,4.4,Восхитительно
2025-08-22,Эклер,19,315.9,6002.1,5.0,Мой фаворит
